LOT #2 - Madewell/J.Crew Liquidation Bundle,,,,,,,,,
40 Pieces | Mixed Categories,,,,,,,,,
,,,,,,,,,
Description,Color,Style,Size,Category,Vendor,MSRP,Your Price,cost,profit
"(RE)GENERATIVE COTTON RIBBED, BK0070, XS",BK0070,NS724,XS,W KNITS,Madewell,$38.00,$3.80,2.28,$1.52
"1X1 RIB EVERYDAY LS TEE -,RD5812,M",RD5812,NM162,M,W KNITS,J Crew Factory,$49.50,$4.95,2.97,$1.98
"SCOOP NECK PUFF TEE, NA0274, S",NA0274,NY575,S,W KNITS,Madewell,$52.00,$5.20,3.12,$2.08
"COMPACT 1X1 CREW, BK0070, M",BK0070,CO280,M,W KNITS,Madewell,$55.00,$5.50,3.3,$2.20
"SACHI SMOCKED TANK, WT0005, M",WT0005,NX183,M,W KNITS,Madewell,$58.00,$5.80,3.48,$2.32
"MODAL RIB LONG SLEEVE C, BK0070, S",BK0070,NW195,S,W KNITS,Madewell,$58.00,$5.80,3.48,$2.32
"LS PUFF TOP W/ SMOCK SL, GR0434, M",GR0434,NV971,M,W KNITS,Madewell,$58.00,$5.80,3.48,$2.32
"RIBBED PUFF-SLEEVE TOP, WT0005, XXS",WT0005,NV880,XXS,W KNITS,Madewell,$62.00,$6.20,3.72,$2.48
"HEAVYWEIGHT LONG-SLEEVE MOCKN, BK0070, M",BK0070,NW166,M,M KNITS,Madewell,$68.00,$6.80,4.08,$2.72
"EASY LONG-SLEEVE TEE, KI0655, S",KI0655,NW936,S,W KNITS,Madewell,$68.00,$6.80,4.08,$2.72
"LILLA SS CARDIGAN, BR6590, L",BR6590,NX631,L,W SWEATERS,Madewell,$75.00,$7.50,4.5,$3.00
"LILLA SS CARDIGAN, BR6590, L",BR6590,NX631,L,W SWEATERS,Madewell,$75.00,$7.50,4.5,$3.00
"LILLA SS CARDIGAN, BR6590, L",BR6590,NX631,L,W SWEATERS,Madewell,$75.00,$7.50,4.5,$3.00
"CHUNKY WAIST BELT., BR6956, M",BR6956,NU671,M,W ACCESSORIES,Madewell,$78.00,$7.80,4.68,$3.12
"7"" FLEX CHINO., BK0001, 30",BK0001,CL742,30,M SHORTS,J Crew Factory,$79.50,$7.95,4.77,$3.18
"EASY Y-NECK BUTTON-UP SHIRT, BL8990, XL",BL8990,NY989,XL,W SHIRTS,Madewell,$88.00,$8.80,5.28,$3.52
"EASY Y-NECK BUTTON-UP SHIRT I, BL8990, S",BL8990,NY989,S,W SHIRTS,Madewell,$88.00,$8.80,5.28,$3.52
"OXFORD EASY Y-NECK BUTTON-UP, WT0005, XS",WT0005,NW832,XS,W SHIRTS,Madewell,$88.00,$8.80,5.28,$3.52
"7"" TECH SHORT., BL81",BL8133,NU267,38,M SHORTS,J Crew Factory,$89.50,$8.95,5.37,$3.58
"RUCHED BODICE RED TARTA, WX7902, 8",WX7902,CL821,8,G DRESSES,J Crew Factory,$89.50,$8.95,5.37,$3.58
"CTN LS TSHIRT CREW, BL8133, XXL",BL8133,CL515,XXL,M SWEATERS,J Crew Factory,$89.50,$8.95,5.37,$3.58
"BIAS SLIP SKIRT PRINT,PT8355,XL",PT8355,NW061,XL,W SKIRTS,J Crew Factory,$89.50,$8.95,5.37,$3.58
"MS STRETCH OXFORD-SOLID, WA1843, S",WA1843,H4726,S,M WOVEN SHIRTS,J Crew Factory,$89.50,$8.95,5.37,$3.58
"COZY COTTON NELLY MOCK, SR8411, M",SR8411,NU748,M,Unknown,Madewell,$98.00,$9.80,5.88,$3.92
"PUFF SLV KNIT MIX MINI, BL8133, S",BL8133,NY440,S,W DRESSES,J Crew Factory,$98.00,$9.80,5.88,$3.92
"CAMP COLLAR SHORT-SLEEVE SHIR, WT0005, L",WT0005,CO298,L,M WOVEN SHIRTS,Madewell,$98.00,$9.80,5.88,$3.92
"LACE-INSERT PINTUCKED LONG-SL, BK0070, S",BK0070,NW832,S,W SHIRTS,Madewell,$98.00,$9.80,5.88,$3.92
"RUFFLED PINTUCK TOP, WR1948, XL",WR1948,NW832,XL,W SHIRTS,Madewell,$118.00,$11.80,7.08,$4.72
