LOT #6 - Madewell/J.Crew Liquidation Bundle,,,,,,,
40 Pieces | Mixed Categories,,,,,,,
,,,,,,,
Description,Color,Style,Size,Category,Vendor,MSRP,Your Price
"BOAT SHOELACES, EX0020, ONE S",EX0020,NY429,ONE S,W ACCESSORIES,Madewell,$10.00,$1.00
"SLIM SHRUNKEN TEE, BK0070, XXS",BK0070,NU848,XXS,W KNITS,Madewell,$35.00,$3.50
"RELAXED SLUB VNECK., WT0005, XS",WT0005,NO832,XS,W KNITS,Madewell,$38.00,$3.80
"RELAXED TEE, BK5229, S",BK5229,BJ919,S,M KNITS,Madewell,$39.50,$3.95
"LS RIBBED RUFFLE TEE, WT0002, XL",WT0002,J9013,XL,G TOPS,J Crew Factory,$39.50,$3.95
"OCT - LS TURKEY DOG GRA, KI0470, S",KI0470,CD815,S,B TOPS,J Crew Factory,$39.50,$3.95
"COTTON PERFECT CREWNECK TEE, RD5903, M",RD5903,NO830,M,W KNITS,Madewell,$45.00,$4.50
"NEW FEATHER JERSEY TURTLENEC, BK0001, XS",BK0001,NM162,XS,W KNITS,J Crew,$45.00,$4.50
"NEW CHINO PANT - BUTTER, BL8133, 12",BL8133,CP500,12,G BOTTOMS,J Crew Factory,$49.50,$4.95
"SCOOP NECK PUFF TEE, NA0274, XL",NA0274,CO294,XL,W KNITS,Madewell,$52.00,$5.20
"SLINKY MOCKNECK DRAPED, BR8786, M",BR8786,BO375,M,W KNITS,Madewell,$55.00,$5.50
"SLINKY MOCKNECK DRAPED, NA0274, S",NA0274,BS211,S,W KNITS,Madewell,$55.00,$5.50
"WATCH CHAIN CHARM NECKL, EE7744, ONE S",EE7744,AD156,ONE S,W JEWELRY,Madewell,$58.00,$5.80
"LACE SQUARE NECK TANK, BK0070, S",BK0070,NY316,S,W KNITS,Madewell,$58.00,$5.80
"SUEDE BASEBALL HAT, BR0129, ONE S",BR0129,NY280,ONE S,W ACCESSORIES,Madewell,$68.00,$6.80
"PATCH POCKET WIDE LEG C, NA6491, 5",NA6491,CD602,5,G BOTTOMS,J Crew Factory,$69.50,$6.95
"MERINO SILK SLEEVELESS, SR8896, XXS",SR8896,BJ919,XXS,W SWEATERS,Madewell,$78.00,$7.80
"P HIGH-RISE GIRLFRIEND CHINO, NA6407, P8",NA6407,AD217,P8,W PANTS,J Crew Factory,$79.50,$7.95
"EASY Y-NECK BUTTON-UP SHIRT, BL8990, XS",BL8990,NY989,XS,W SHIRTS,Madewell,$88.00,$8.80
"WOVEN MIXY HOLE, BR8791, XL",BR8791,BZ109,XL,W KNITS,Madewell,$88.00,$8.80
"B FLEX THOMPSON CHINO PANT, BL8405, 14",BL8405,CF998,14,B BOTTOMS,J Crew Factory,$89.50,$8.95
"COTTON SOLID TEDDIE.,BL7232,M",BL7232,CF165,M,W SWEATERS,J Crew Factory,$89.50,$8.95
"RUFFLE BUTTON DOWN - SO, WT0002, L",WT0002,CN038,L,W SHIRTS,J Crew Factory,$98.00,$9.80
"STRIPED SKINNY SCARF- A, SR9035, ONE S",SR9035,H5529,ONE S,W ACCESSORIES,Madewell,$98.00,$9.80
"SEAMED TANK TOP W. SCOO, DM9237, 2",DM9237,BR832,2,MW DENIM DRESSING,Madewell,$108.00,$10.80
"EMBELLISHED SWEATSHIRT, NA6755, L",NA6755,AZ852,L,W KNITS,J Crew Factory,$115.00,$11.50
"P HW STRAIGHT LEG PANT,BL8133,P00",BL8133,BO900,P00,W PANTS,J Crew Factory,$118.00,$11.80
"P LIZZIE WIDE LEG POCKET PA, NA6445, P28",NA6445,NW780,P28,W PANTS,J Crew Factory,$118.00,$11.80
"WT WIDE LEG POCKET PANT,BK0001,T27",BK0001,CJ133,T27,W PANTS,J Crew Factory,$118.00,$11.80
"FTY MID-RISE FLARE CROP, DM9650, 27",DM9650,AF780,27,W PANTS,J Crew Factory,$118.00,$11.80
"LORIMER SOLID MERINO PU, BK5229, S",BK5229,NS688,S,W SWEATERS,Madewell,$128.00,$12.80
"P FLARE CROP BLACK, DM7279, P26",DM7279,BT059,P26,W PANTS,J Crew Factory,$128.00,$12.80
"P FTY WIDE LEG CROP CUT, DM7279, P27",DM7279,CB372,P27,W PANTS,J Crew Factory,$128.00,$12.80
"RELAXED STRAIGHT WORKWEAR, NA6148, 32/32",NA6148,AH665,32/32,MENS,Madewell,$128.00,$12.80
"PLEATED TWILL TROUSERS, GY0222, 31",GY0222,NW542,31,MENS,Madewell,$138.00,$13.80
"HR WIDE LEG FULL LENGTH, BK0001, 10",BK0001,CL194,10,W PANTS,J Crew Factory,$138.00,$13.80
"MED STOVEPIPE IN HARSDALE., DM7553, 26",DM7553,NR515,26,W PANTS DENIM,Madewell,$138.00,$13.80
"FLUTED MIDI SKIRT IN TILE WH, DM1626, 31",DM1626,NU507,31,MW DENIM DRESSING,Madewell,$138.00,$13.80
"RINSE CIRCLE SKIRT, DM9455, 29",DM9455,NW870,29,MW DENIM DRESSING,Madewell,$148.00,$14.80
"CLEO STRAIGHT JEAN W PATCH P, WT0005, 33",WT0005,NW256,33,W PANTS DENIM,Madewell,$158.00,$15.80
,,,,,,,
,,,,,TOTALS:,"$3,530.00",$353.00
,,,,,AVG PER ITEM:,$88.25,$8.83
