Sort Container Key	Parent Container Key	UNIVERSAL ID	DESCRIPTION	COLOR	STYLE	SIZE	Part Number	DEPARTMENT NAME	Gender	Category (Department)	Subclass	Vendor	SCAN QUANTITY	 Unit Retail 	 Ext. Retail 	COGS	Zone
J40708387D72	40700052010	99107513783	RELAXED LEATHER BOMBER JACKE, BR0129, XL	BR0129	NS384	XL	NS384BR0129XL	GOH	Womens	W OUTERWEAR JACKET	W OUTER JCKT LTH NOV	Madewell	1	548	548	$39.55	Zone 1
J40708387D72	40700052010	99107900395	DOUBLE-BREASTED BLAZER IN SUE, BR0129, M	BR0129	NW768	M	NW768BR0129M	GOH	Womens	W OUTERWEAR JACKET	W OUTER JCKT LTH NOV	Madewell	1	548	548	$39.55	Zone 1
J40708387D72	40700052010	99107762926	CROP CARDIGAN JACKET IN SUEDE, BR8712, S	BR8712	NV768	S	NV768BR8712S	GOH	Womens	W OUTERWEAR JACKET	W OUTER JCKT LTH NOV	Madewell	1	498	498	$36.05	Zone 1
J40708387D72	40700052010	99107951640	SUEDE SEAMED CIRCLE MID, WR2453, 6	WR2453	NY240	6	NY240WR24536	GOH	Womens	W SKIRTS	W SKIRT N DENIM MIDI	Madewell	1	458	458	$33.25	Zone 1 Pants
J40708153122	40700051869	99107909434	OFFICER COAT IN ITALIAN MELTO, WZ7496, S	WZ7496	NX972	S	NX972WZ7496S	MASTER/SPECIALTY	Mens	M OUTERWEAR	M OTRWR COAT WOOL	Madewell	1	428	428	$31.15	Zone 2
J4070825E5C4	40700051876	99107909432	OFFICER COAT IN ITALIAN MELTO, WZ7496, M	WZ7496	NX972	M	NX972WZ7496M	MASTER/SPECIALTY	Mens	M OUTERWEAR	M OTRWR COAT WOOL	Madewell	1	428	428	$31.15	Zone 1
J4070825E5C4	40700051876	99107909434	OFFICER COAT IN ITALIAN MELTO, WZ7496, S	WZ7496	NX972	S	NX972WZ7496S	MASTER/SPECIALTY	Mens	M OUTERWEAR	M OTRWR COAT WOOL	Madewell	1	428	428	$31.15	Zone 2
J4070825E5C4	40700051876	99107909435	OFFICER COAT IN ITALIAN MELT, WZ7496, XL	WZ7496	NX972	XL	NX972WZ7496XL	MASTER/SPECIALTY	Mens	M OUTERWEAR	M OTRWR COAT WOOL	Madewell	1	428	428	$31.15	Zone 1
J4070825E5C4	40700051876	99107909436	OFFICER COAT IN ITALIAN MELT, WZ7496, XS	WZ7496	NX972	XS	NX972WZ7496XS	MASTER/SPECIALTY	Mens	M OUTERWEAR	M OTRWR COAT WOOL	Madewell	1	428	428	$31.15	Zone 2
J40708261783	40700051876	99107909436	OFFICER COAT IN ITALIAN MELT, WZ7496, XS	WZ7496	NX972	XS	NX972WZ7496XS	MASTER/SPECIALTY	Mens	M OUTERWEAR	M OTRWR COAT WOOL	Madewell	1	428	428	$31.15	Zone 2
